Drug name,mm,mp,t,p,c,y6,Predicted
Dasatinib monohydrate,506.02,559,318,27,872,6.938,0.221102937
Dasatinib monohydrate,506.02,559,328,12,507,0.999,1.684349352
Dasatinib monohydrate,506.02,559,328,15,655,3.084,1.442245576
Dasatinib monohydrate,506.02,559,328,18,724,4.592,1.343694887
Dasatinib monohydrate,506.02,559,328,21,769,5.105,1.268635928
Dasatinib monohydrate,506.02,559,328,24,802,5.932,1.202217508
Dasatinib monohydrate,506.02,559,328,27,829,8.275,1.146093542
Dasatinib monohydrate,506.02,559,338,12,384,1.611,2.39789423
Dasatinib monohydrate,506.02,559,338,15,555,3.521,2.195759347
Dasatinib monohydrate,506.02,559,338,18,651,4.941,2.157403228
Dasatinib monohydrate,506.02,559,338,21,710,6.3,2.168748858
Dasatinib monohydrate,506.02,559,338,24,751,6.901,2.195677947
Dasatinib monohydrate,506.02,559,338,27,783,9.078,2.236289566
Imatinib mesylate,493.6,483.15,308,12,769,0.486,0.963727063
Imatinib mesylate,493.6,483.15,308,15,817,0.514,0.74470929
Imatinib mesylate,493.6,483.15,308,18,849,0.611,0.531690654
Imatinib mesylate,493.6,483.15,308,21,875,0.78,0.313675037
Imatinib mesylate,493.6,483.15,308,24,896,1.367,0.096003039
Imatinib mesylate,493.6,483.15,308,27,914,2.043,0.118777049
Imatinib mesylate,493.6,483.15,318,12,661,0.274,1.582920298
Imatinib mesylate,493.6,483.15,318,15,744,0.343,1.341923227
Imatinib mesylate,493.6,483.15,318,18,791,0.498,1.147658452
Imatinib mesylate,493.6,483.15,318,21,824,0.939,0.960574567
Imatinib mesylate,493.6,483.15,318,24,851,1.562,0.774930016
Imatinib mesylate,493.6,483.15,318,27,872,2.475,0.59643043
Imatinib mesylate,493.6,483.15,328,12,509,0.181,2.33465744
Imatinib mesylate,493.6,483.15,328,15,656,0.252,2.022159849
Imatinib mesylate,493.6,483.15,328,18,725,0.403,1.850865518
Imatinib mesylate,493.6,483.15,328,21,769,1.049,1.705554761
Imatinib mesylate,493.6,483.15,328,24,802,1.758,1.568134886
Imatinib mesylate,493.6,483.15,328,27,829,3.382,1.439359938
Imatinib mesylate,493.6,483.15,338,12,388,0.1,3.065589155
Imatinib mesylate,493.6,483.15,338,15,557,0.199,2.776824609
Imatinib mesylate,493.6,483.15,338,18,652,0.362,2.641491295
Imatinib mesylate,493.6,483.15,338,21,710,1.269,2.556177841
Imatinib mesylate,493.6,483.15,338,24,751,1.928,2.486656824
Imatinib mesylate,493.6,483.15,338,27,783,4.406,2.429493578
Temozolomide,194.15,485.15,308,12,768.42,657,485.7729084
Temozolomide,194.15,485.15,308,16,828.1,795,659.4593317
Temozolomide,194.15,485.15,308,20,866.48,882,867.2997374
Temozolomide,194.15,485.15,308,24,895.54,973,1000.046069
Temozolomide,194.15,485.15,308,28,919.23,1070,1086.270864
Temozolomide,194.15,485.15,308,32,939.39,1200,1198.453781
Temozolomide,194.15,485.15,308,36,957.02,1360,1357.112379
Temozolomide,194.15,485.15,308,40,972.74,1470,1404.949608
Temozolomide,194.15,485.15,318,12,659.73,534,520.8884578
Temozolomide,194.15,485.15,318,16,761.07,748,758.3738588
Temozolomide,194.15,485.15,318,20,813.52,1130,1134.484378
Temozolomide,194.15,485.15,318,24,850.1,1330,1402.935249
Temozolomide,194.15,485.15,318,28,878.62,1610,1606.438232
Temozolomide,194.15,485.15,318,32,902.22,1880,1900.322969
Temozolomide,194.15,485.15,318,36,922.46,2050,2042.299688
Temozolomide,194.15,485.15,318,40,940.24,2260,2261.524602
Temozolomide,194.15,485.15,328,12,506.85,486,494.6085757
Temozolomide,194.15,485.15,328,16,682.39,752,817.5230498
Temozolomide,194.15,485.15,328,20,755.52,1530,1424.385371
Temozolomide,194.15,485.15,328,24,801.92,1860,1856.838012
Temozolomide,194.15,485.15,328,28,836.35,2230,2221.713255
Temozolomide,194.15,485.15,328,32,863.97,2610,2626.945864
Temozolomide,194.15,485.15,328,36,887.18,2890,2887.235119
Temozolomide,194.15,485.15,328,40,907.27,3530,3530.136948
Temozolomide,194.15,485.15,338,12,384.17,430,429.2174628
Temozolomide,194.15,485.15,338,16,593.75,843,839.551182
Temozolomide,194.15,485.15,338,20,692.68,1730,1732.292327
Temozolomide,194.15,485.15,338,24,751.17,2310,2309.505088
Temozolomide,194.15,485.15,338,28,792.59,3050,2921.38206
Temozolomide,194.15,485.15,338,32,824.82,3590,3588.308338
Temozolomide,194.15,485.15,338,36,851.34,4000,3999.786556
Temozolomide,194.15,485.15,338,40,873.95,5280,5241.918904
 Decitabine,228.2,474.15,308,12,768.42,50.4,36.51016751
 Decitabine,228.2,474.15,308,16,828.1,82.3,82.70814934
 Decitabine,228.2,474.15,308,20,866.48,118,125.4549499
 Decitabine,228.2,474.15,308,24,895.54,137,154.3829038
 Decitabine,228.2,474.15,308,28,919.23,176,171.4161724
 Decitabine,228.2,474.15,308,32,939.39,197,186.9367705
 Decitabine,228.2,474.15,308,36,957.02,218,221.280025
 Decitabine,228.2,474.15,308,40,972.74,283,300.6254932
 Decitabine,228.2,474.15,318,12,659.73,45.1,29.01029207
 Decitabine,228.2,474.15,318,16,761.07,93.7,83.37807127
 Decitabine,228.2,474.15,318,20,813.52,155,148.0837944
 Decitabine,228.2,474.15,318,24,850.1,187,199.3025186
 Decitabine,228.2,474.15,318,28,878.62,240,233.8468221
 Decitabine,228.2,474.15,318,32,902.22,269,269.9586605
 Decitabine,228.2,474.15,318,36,922.46,340,351.9143727
 Decitabine,228.2,474.15,318,40,940.24,506,485.8674148
 Decitabine,228.2,474.15,328,12,506.85,36.9,38.87997001
 Decitabine,228.2,474.15,328,16,682.39,91.1,84.03178457
 Decitabine,228.2,474.15,328,20,755.52,177,173.5120119
 Decitabine,228.2,474.15,328,24,801.92,282,261.2033021
 Decitabine,228.2,474.15,328,28,836.35,342,331.3132932
 Decitabine,228.2,474.15,328,32,863.97,427,420.3211132
 Decitabine,228.2,474.15,328,36,887.18,560,573.6819553
 Decitabine,228.2,474.15,328,40,907.27,788,780.0918487
 Decitabine,228.2,474.15,338,12,384.17,28.4,89.46806217
 Decitabine,228.2,474.15,338,16,593.75,77.9,100.0435559
 Decitabine,228.2,474.15,338,20,692.68,205,208.1944238
 Decitabine,228.2,474.15,338,24,751.17,371,355.7309278
 Decitabine,228.2,474.15,338,28,792.59,490,503.5289213
 Decitabine,228.2,474.15,338,32,824.82,715,710.6543567
 Decitabine,228.2,474.15,338,36,851.34,874,884.1607614
 Decitabine,228.2,474.15,338,40,873.95,1070,1068.713688
Busulfan,246.3,389.15,308,12,768.42,80.3,65.8721623
Busulfan,246.3,389.15,308,16,828.1,126,117.5700459
Busulfan,246.3,389.15,308,20,866.48,149,158.4156875
Busulfan,246.3,389.15,308,24,895.54,172,184.522586
Busulfan,246.3,389.15,308,28,919.23,197,202.3938264
Busulfan,246.3,389.15,308,32,939.39,226,224.2921998
Busulfan,246.3,389.15,308,36,957.02,245,255.4662862
Busulfan,246.3,389.15,308,40,972.74,274,293.0467765
Busulfan,246.3,389.15,318,12,659.73,51.7,56.90234114
Busulfan,246.3,389.15,318,16,761.07,119,116.4291053
Busulfan,246.3,389.15,318,20,813.52,172,174.4130319
Busulfan,246.3,389.15,318,24,850.1,210,218.4943454
Busulfan,246.3,389.15,318,28,878.62,273,256.9292566
Busulfan,246.3,389.15,318,32,902.22,326,304.4522678
Busulfan,246.3,389.15,318,36,922.46,346,342.4941535
Busulfan,246.3,389.15,318,40,940.24,371,459.9713627
Busulfan,246.3,389.15,328,12,506.85,46.9,42.11558014
Busulfan,246.3,389.15,328,16,682.39,91.9,109.6527844
Busulfan,246.3,389.15,328,20,755.52,210,191.3672257
Busulfan,246.3,389.15,328,24,801.92,246,268.7003925
Busulfan,246.3,389.15,328,28,836.35,348,351.9207927
Busulfan,246.3,389.15,328,32,863.97,427,424.5640016
Busulfan,246.3,389.15,328,36,887.18,490,493.2853317
Busulfan,246.3,389.15,328,40,907.27,618,725.9054183
Busulfan,246.3,389.15,338,12,384.17,37,26.87648412
Busulfan,246.3,389.15,338,16,593.75,89.1,96.81749363
Busulfan,246.3,389.15,338,20,692.68,212,207.1066298
Busulfan,246.3,389.15,338,24,751.17,312,345.556635
Busulfan,246.3,389.15,338,28,792.59,440,515.3936815
Busulfan,246.3,389.15,338,32,824.82,545,595.4081631
Busulfan,246.3,389.15,338,36,851.34,633,633.8093219
Busulfan,246.3,389.15,338,40,873.95,865,864.9469738
Pazopanib hydrochloride,474,575,308,12,768,1.87,6.592125494
Pazopanib hydrochloride,474,575,308,15,816,2.12,6.672736247
Pazopanib hydrochloride,474,575,308,18,849,2.79,6.675508199
Pazopanib hydrochloride,474,575,308,21,874,3.06,6.619984578
Pazopanib hydrochloride,474,575,308,24,896,4.44,6.519975774
Pazopanib hydrochloride,474,575,308,27,914,6.1,6.386707418
Pazopanib hydrochloride,474,575,318,12,660,2.52,7.360121553
Pazopanib hydrochloride,474,575,318,15,743,3.22,7.471925169
Pazopanib hydrochloride,474,575,318,18,790,4.15,7.492604393
Pazopanib hydrochloride,474,575,318,21,824,5.52,7.442258011
Pazopanib hydrochloride,474,575,318,24,850,6.23,7.338805735
Pazopanib hydrochloride,474,575,318,27,872,8.16,7.194909564
Pazopanib hydrochloride,474,575,328,12,507,4.12,8.185737849
Pazopanib hydrochloride,474,575,328,15,655,5.1,8.325618933
Pazopanib hydrochloride,474,575,328,18,724,5.74,8.368762441
Pazopanib hydrochloride,474,575,328,21,769,6.53,8.329154354
Pazopanib hydrochloride,474,575,328,24,802,8.12,8.225676019
Pazopanib hydrochloride,474,575,328,27,829,12.83,8.073454151
Pazopanib hydrochloride,474,575,338,12,384,4.68,9.055892667
Pazopanib hydrochloride,474,575,338,15,555,6.52,9.237812587
Pazopanib hydrochloride,474,575,338,18,651,7.01,9.307665028
Pazopanib hydrochloride,474,575,338,21,710,7.81,9.284968007
Pazopanib hydrochloride,474,575,338,24,751,9.55,9.18722519
Pazopanib hydrochloride,474,575,338,27,783,14.25,9.031251391
